MFR URL,Ref URL 1,Ref URL 2,Ref URL 3,Ref URL 4,Ref URL 5,PART_NUMBER,Dept,Class,Fine,SKU - MY_PART_NUMBER,Mfg_Part_Num,Part_Desc,E1_Brand,Unilog_Brand,DIB_Brand,Part_Manuf,MANUFACTURER_NAME,BRAND_NAME,TRADE_NAME,MANUFACTURER_PART_NUMBER,ALTERNATE_PART_NUMBER,Classpath,MOBILE_DESC,INVOICE_DESC,SHORT_DESC,LONG_DESC1,RETAIL_DESC,MARKETING_DESCRIPTION,ITEM_FEATURES_1,ITEM_FEATURES_2,ITEM_FEATURES_3,ITEM_FEATURES_4,ITEM_FEATURES_5,ITEM_FEATURES_6,ITEM_FEATURES_7,ITEM_FEATURES_8,ITEM_FEATURES_9,ITEM_FEATURES_10,ITEM_FEATURES_11,ITEM_FEATURES_12,ITEM_FEATURES_13,ITEM_FEATURES_14,ITEM_FEATURES_15,ITEM_FEATURES_16,ITEM_FEATURES_17,ITEM_FEATURES_18,ITEM_FEATURES_19,ITEM_FEATURES_20,With,Standard/Approvals,Prop 65,Application,Includes,Product Name,ATTRIBUTE_LABEL 1,ATTRIBUTE_VALUE 1,ATTRIBUTE_UOM 1,ATTRIBUTE_LABEL 2,ATTRIBUTE_VALUE 2,ATTRIBUTE_UOM 2,ATTRIBUTE_LABEL 3,ATTRIBUTE_VALUE 3,ATTRIBUTE_UOM 3,ATTRIBUTE_LABEL 4,ATTRIBUTE_VALUE 4,ATTRIBUTE_UOM 4,ATTRIBUTE_LABEL 5,ATTRIBUTE_VALUE 5,ATTRIBUTE_UOM 5,ATTRIBUTE_LABEL 6,ATTRIBUTE_VALUE 6,ATTRIBUTE_UOM 6,ATTRIBUTE_LABEL 7,ATTRIBUTE_VALUE 7,ATTRIBUTE_UOM 7,ATTRIBUTE_LABEL 8,ATTRIBUTE_VALUE 8,ATTRIBUTE_UOM 8,ATTRIBUTE_LABEL 9,ATTRIBUTE_VALUE 9,ATTRIBUTE_UOM 9,ATTRIBUTE_LABEL 10,ATTRIBUTE_VALUE 10,ATTRIBUTE_UOM 10,ATTRIBUTE_LABEL 11,ATTRIBUTE_VALUE 11,ATTRIBUTE_UOM 11,ATTRIBUTE_LABEL 12,ATTRIBUTE_VALUE 12,ATTRIBUTE_UOM 12,ATTRIBUTE_LABEL 13,ATTRIBUTE_VALUE 13,ATTRIBUTE_UOM 13,ATTRIBUTE_LABEL 14,ATTRIBUTE_VALUE 14,ATTRIBUTE_UOM 14,ATTRIBUTE_LABEL 15,ATTRIBUTE_VALUE 15,ATTRIBUTE_UOM 15,ATTRIBUTE_LABEL 16,ATTRIBUTE_VALUE 16,ATTRIBUTE_UOM 16,ATTRIBUTE_LABEL 17,ATTRIBUTE_VALUE 17,ATTRIBUTE_UOM 17,ATTRIBUTE_LABEL 18,ATTRIBUTE_VALUE 18,ATTRIBUTE_UOM 18,ATTRIBUTE_LABEL 19,ATTRIBUTE_VALUE 19,ATTRIBUTE_UOM 19,ATTRIBUTE_LABEL 20,ATTRIBUTE_VALUE 20,ATTRIBUTE_UOM 20,ATTRIBUTE_LABEL 21,ATTRIBUTE_VALUE 21,ATTRIBUTE_UOM 21,ATTRIBUTE_LABEL 22,ATTRIBUTE_VALUE 22,ATTRIBUTE_UOM 22,ATTRIBUTE_LABEL 23,ATTRIBUTE_VALUE 23,ATTRIBUTE_UOM 23,ATTRIBUTE_LABEL 24,ATTRIBUTE_VALUE 24,ATTRIBUTE_UOM 24,ATTRIBUTE_LABEL 25,ATTRIBUTE_VALUE 25,ATTRIBUTE_UOM 25,ATTRIBUTE_LABEL 26,ATTRIBUTE_VALUE 26,ATTRIBUTE_UOM 26,ATTRIBUTE_LABEL 27,ATTRIBUTE_VALUE 27,ATTRIBUTE_UOM 27,ATTRIBUTE_LABEL 28,ATTRIBUTE_VALUE 28,ATTRIBUTE_UOM 28,ATTRIBUTE_LABEL 29,ATTRIBUTE_VALUE 29,ATTRIBUTE_UOM 29,ATTRIBUTE_LABEL 30,ATTRIBUTE_VALUE 30,ATTRIBUTE_UOM 30,ATTRIBUTE_LABEL 31,ATTRIBUTE_VALUE 31,ATTRIBUTE_UOM 31,ATTRIBUTE_LABEL 32,ATTRIBUTE_VALUE 32,ATTRIBUTE_UOM 32,ATTRIBUTE_LABEL 33,ATTRIBUTE_VALUE 33,ATTRIBUTE_UOM 33,ATTRIBUTE_LABEL 34,ATTRIBUTE_VALUE 34,ATTRIBUTE_UOM 34,ATTRIBUTE_LABEL 35,ATTRIBUTE_VALUE 35,ATTRIBUTE_UOM 35,ATTRIBUTE_LABEL 36,ATTRIBUTE_VALUE 36,ATTRIBUTE_UOM 36,ATTRIBUTE_LABEL 37,ATTRIBUTE_VALUE 37,ATTRIBUTE_UOM 37,ATTRIBUTE_LABEL 38,ATTRIBUTE_VALUE 38,ATTRIBUTE_UOM 38,ATTRIBUTE_LABEL 39,ATTRIBUTE_VALUE 39,ATTRIBUTE_UOM 39,ATTRIBUTE_LABEL 40,ATTRIBUTE_VALUE 40,ATTRIBUTE_UOM 40,ATTRIBUTE_LABEL 41,ATTRIBUTE_VALUE 41,ATTRIBUTE_UOM 41,ATTRIBUTE_LABEL 42,ATTRIBUTE_VALUE 42,ATTRIBUTE_UOM 42,ATTRIBUTE_LABEL 43,ATTRIBUTE_VALUE 43,ATTRIBUTE_UOM 43,ATTRIBUTE_LABEL 44,ATTRIBUTE_VALUE 44,ATTRIBUTE_UOM 44,ATTRIBUTE_LABEL 45,ATTRIBUTE_VALUE 45,ATTRIBUTE_UOM 45,ATTRIBUTE_LABEL 46,ATTRIBUTE_VALUE 46,ATTRIBUTE_UOM 46,ATTRIBUTE_LABEL 47,ATTRIBUTE_VALUE 47,ATTRIBUTE_UOM 47,ATTRIBUTE_LABEL 48,ATTRIBUTE_VALUE 48,ATTRIBUTE_UOM 48,ATTRIBUTE_LABEL 49,ATTRIBUTE_VALUE 49,ATTRIBUTE_UOM 49,ATTRIBUTE_LABEL 50,ATTRIBUTE_VALUE 50,ATTRIBUTE_UOM 50,UPC,EAN,GTIN,UNSPSC,Warranty,List Price,Selling Qty,Selling UOM,Standard Packaging Information,LENGTH,LENGTH_UOM,HEIGHT,HEIGHT_UOM,WIDTH,WIDTH_UOM,WEIGHT,WEIGHT_UOM,VOLUME,VOLUME_UOM,Product Image,Alternate Image 1,Alternate Image 2,Alternate Image 3,Alternate Image 4,SDS,SDS_1,Warranty Information,Catalog,Specification Sheet,Instruction/Installation Manual,Service Manual,Owners/User Manual,Line Drawing,MTR,RoHS,Full Engineering Drawing,Energy Star Guide,Technical Bulletin,Submittal,Compatibility Chart,Size Chart,Product Label/Insert,Video Link,Video Link 1,Country Of Origin,Discontinued,Actual Image (Yes/No)
,,,,,,,Hardware,General Hardware,Hardware Accessories,,AGB15520MH,1x6-20' Mahogany Grooved - Vintage Azek PVC Decking,TIMBERTECH,,,Parksite (6151),Parksite,Parksite,,AGB15520MH,,Industrial & Commercial Supplies>Hardware>General Hardware,"Parksite, Industrial Hardware, AGB15520MH",INDUSTRIAL HARDWARE AGB15520MH,"Parksite, AGB15520MH, Industrial Hardware",Parksite Industrial Hardware Model AGB15520MH. ,Industrial Hardware,,,,,,,,,,,,,,,,,,,,,,,,,,,Industrial Hardware,Size,,,Material,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Hardware,General Hardware,Hardware Accessories,,AGB15512WT,1x6-12' Weathered Teak Grooved - Vintage Azek PVC Decking,TIMBERTECH,,,Parksite (6151),Parksite,Parksite,,AGB15512WT,,Industrial & Commercial Supplies>Hardware>General Hardware,"Parksite, Industrial Hardware, AGB15512WT",INDUSTRIAL HARDWARE AGB15512WT,"Parksite, AGB15512WT, Industrial Hardware",Parksite Industrial Hardware Model AGB15512WT. ,Industrial Hardware,,,,,,,,,,,,,,,,,,,,,,,,,,,Industrial Hardware,Size,,,Material,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Hardware,General Hardware,Hardware Accessories,,AGB15516WT,1x6-16' Weathered Teak Grooved - Vintage Azek PVC Decking,TIMBERTECH,,,Parksite (6151),Parksite,Parksite,,AGB15516WT,,Industrial & Commercial Supplies>Hardware>General Hardware,"Parksite, Industrial Hardware, AGB15516WT",INDUSTRIAL HARDWARE AGB15516WT,"Parksite, AGB15516WT, Industrial Hardware",Parksite Industrial Hardware Model AGB15516WT. ,Industrial Hardware,,,,,,,,,,,,,,,,,,,,,,,,,,,Industrial Hardware,Size,,,Material,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Hardware,General Hardware,Hardware Accessories,,AGB15520WT,1x6-20' Weathered Teak Grooved - Vintage Azek PVC Decking,TIMBERTECH,,,Parksite (6151),Parksite,Parksite,,AGB15520WT,,Industrial & Commercial Supplies>Hardware>General Hardware,"Parksite, Industrial Hardware, AGB15520WT",INDUSTRIAL HARDWARE AGB15520WT,"Parksite, AGB15520WT, Industrial Hardware",Parksite Industrial Hardware Model AGB15520WT. ,Industrial Hardware,,,,,,,,,,,,,,,,,,,,,,,,,,,Industrial Hardware,Size,,,Material,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Hardware,General Hardware,Hardware Accessories,,ADB15516AW,1x6-16' American Walnut Sq Edg - Landmark Azek PVC Decking,TIMBERTECH,,,Parksite (6151),Parksite,Parksite,,ADB15516AW,,Industrial & Commercial Supplies>Hardware>General Hardware,"Parksite, Industrial Hardware, ADB15516AW",INDUSTRIAL HARDWARE ADB15516AW,"Parksite, ADB15516AW, Industrial Hardware",Parksite Industrial Hardware Model ADB15516AW. ,Industrial Hardware,,,,,,,,,,,,,,,,,,,,,,,,,,,Industrial Hardware,Size,,,Material,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Hardware,General Hardware,Hardware Accessories,,ADB15520AW,1x6-20' American Walnut Sq Edg - Landmark Azek PVC Decking,TIMBERTECH,,,Parksite (6151),Parksite,Parksite,,ADB15520AW,,Industrial & Commercial Supplies>Hardware>General Hardware,"Parksite, Industrial Hardware, ADB15520AW",INDUSTRIAL HARDWARE ADB15520AW,"Parksite, ADB15520AW, Industrial Hardware",Parksite Industrial Hardware Model ADB15520AW. ,Industrial Hardware,,,,,,,,,,,,,,,,,,,,,,,,,,,Industrial Hardware,Size,,,Material,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Hardware,General Hardware,Hardware Accessories,,ADB15516CG,1x6-16' Castle Gate Sq Edge - Landmark Azek PVC Decking,TIMBERTECH,,,Parksite (6151),Parksite,Parksite,,ADB15516CG,,Industrial & Commercial Supplies>Hardware>General Hardware,"Parksite, Industrial Hardware, ADB15516CG",INDUSTRIAL HARDWARE ADB15516CG,"Parksite, ADB15516CG, Industrial Hardware",Parksite Industrial Hardware Model ADB15516CG. ,Industrial Hardware,,,,,,,,,,,,,,,,,,,,,,,,,,,Industrial Hardware,Size,,,Material,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Hardware,General Hardware,Hardware Accessories,,ADB15520CG,1x6-20' Castle Gate Sq Edge - Landmark Azek PVC Decking,TIMBERTECH,,,Parksite (6151),Parksite,Parksite,,ADB15520CG,,Industrial & Commercial Supplies>Hardware>General Hardware,"Parksite, Industrial Hardware, ADB15520CG",INDUSTRIAL HARDWARE ADB15520CG,"Parksite, ADB15520CG, Industrial Hardware",Parksite Industrial Hardware Model ADB15520CG. ,Industrial Hardware,,,,,,,,,,,,,,,,,,,,,,,,,,,Industrial Hardware,Size,,,Material,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Hardware,General Hardware,Hardware Accessories,,ADB15516FW,1x6-16' French White Oak Sq Ed - Landmark Azek PVC Decking,TIMBERTECH,,,Parksite (6151),Parksite,Parksite,,ADB15516FW,,Industrial & Commercial Supplies>Hardware>General Hardware,"Parksite, Industrial Hardware, ADB15516FW",INDUSTRIAL HARDWARE ADB15516FW,"Parksite, ADB15516FW, Industrial Hardware",Parksite Industrial Hardware Model ADB15516FW. ,Industrial Hardware,,,,,,,,,,,,,,,,,,,,,,,,,,,Industrial Hardware,Size,,,Material,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Hardware,General Hardware,Hardware Accessories,,ADB15520FW,1x6-20' French White Oak Sq Ed - Landmark Azek PVC Decking,TIMBERTECH,,,Parksite (6151),Parksite,Parksite,,ADB15520FW,,Industrial & Commercial Supplies>Hardware>General Hardware,"Parksite, Industrial Hardware, ADB15520FW",INDUSTRIAL HARDWARE ADB15520FW,"Parksite, ADB15520FW, Industrial Hardware",Parksite Industrial Hardware Model ADB15520FW. ,Industrial Hardware,,,,,,,,,,,,,,,,,,,,,,,,,,,Industrial Hardware,Size,,,Material,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Hardware,General Hardware,Hardware Accessories,,AGB15512AW,1x6-12' American Walnut Groove - Landmark Azek PVC Decking,TIMBERTECH,,,Parksite (6151),Parksite,Parksite,,AGB15512AW,,Industrial & Commercial Supplies>Hardware>General Hardware,"Parksite, Industrial Hardware, AGB15512AW",INDUSTRIAL HARDWARE AGB15512AW,"Parksite, AGB15512AW, Industrial Hardware",Parksite Industrial Hardware Model AGB15512AW. ,Industrial Hardware,,,,,,,,,,,,,,,,,,,,,,,,,,,Industrial Hardware,Size,,,Material,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Hardware,General Hardware,Hardware Accessories,,AGB15516AW,1x6-16' American Walnut Groove - Landmark Azek PVC Decking,TIMBERTECH,,,Parksite (6151),Parksite,Parksite,,AGB15516AW,,Industrial & Commercial Supplies>Hardware>General Hardware,"Parksite, Industrial Hardware, AGB15516AW",INDUSTRIAL HARDWARE AGB15516AW,"Parksite, AGB15516AW, Industrial Hardware",Parksite Industrial Hardware Model AGB15516AW. ,Industrial Hardware,,,,,,,,,,,,,,,,,,,,,,,,,,,Industrial Hardware,Size,,,Material,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Hardware,General Hardware,Hardware Accessories,,AGB15520AW,1x6-20' American Walnut Groove - Landmark Azek PVC Decking,TIMBERTECH,,,Parksite (6151),Parksite,Parksite,,AGB15520AW,,Industrial & Commercial Supplies>Hardware>General Hardware,"Parksite, Industrial Hardware, AGB15520AW",INDUSTRIAL HARDWARE AGB15520AW,"Parksite, AGB15520AW, Industrial Hardware",Parksite Industrial Hardware Model AGB15520AW. ,Industrial Hardware,,,,,,,,,,,,,,,,,,,,,,,,,,,Industrial Hardware,Size,,,Material,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Hardware,General Hardware,Hardware Accessories,,AGB15512CG,1x6-12' Castle Gate Grooved - Landmark Azek PVC Decking,TIMBERTECH,,,Parksite (6151),Parksite,Parksite,,AGB15512CG,,Industrial & Commercial Supplies>Hardware>General Hardware,"Parksite, Industrial Hardware, AGB15512CG",INDUSTRIAL HARDWARE AGB15512CG,"Parksite, AGB15512CG, Industrial Hardware",Parksite Industrial Hardware Model AGB15512CG. ,Industrial Hardware,,,,,,,,,,,,,,,,,,,,,,,,,,,Industrial Hardware,Size,,,Material,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Hardware,General Hardware,Hardware Accessories,,AGB15516CG,1x6-16' Castle Gate Grooved - Landmark Azek PVC Decking,TIMBERTECH,,,Parksite (6151),Parksite,Parksite,,AGB15516CG,,Industrial & Commercial Supplies>Hardware>General Hardware,"Parksite, Industrial Hardware, AGB15516CG",INDUSTRIAL HARDWARE AGB15516CG,"Parksite, AGB15516CG, Industrial Hardware",Parksite Industrial Hardware Model AGB15516CG. ,Industrial Hardware,,,,,,,,,,,,,,,,,,,,,,,,,,,Industrial Hardware,Size,,,Material,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Hardware,General Hardware,Hardware Accessories,,AGB15520CG,1x6-20' Castle Gate Grooved - Landmark Azek PVC Decking,TIMBERTECH,,,Parksite (6151),Parksite,Parksite,,AGB15520CG,,Industrial & Commercial Supplies>Hardware>General Hardware,"Parksite, Industrial Hardware, AGB15520CG",INDUSTRIAL HARDWARE AGB15520CG,"Parksite, AGB15520CG, Industrial Hardware",Parksite Industrial Hardware Model AGB15520CG. ,Industrial Hardware,,,,,,,,,,,,,,,,,,,,,,,,,,,Industrial Hardware,Size,,,Material,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Hardware,General Hardware,Hardware Accessories,,AGB15512FW,1x6-12' French White Oak Groov - Landmark Azek PVC Decking,TIMBERTECH,,,Parksite (6151),Parksite,Parksite,,AGB15512FW,,Industrial & Commercial Supplies>Hardware>General Hardware,"Parksite, Industrial Hardware, AGB15512FW",INDUSTRIAL HARDWARE AGB15512FW,"Parksite, AGB15512FW, Industrial Hardware",Parksite Industrial Hardware Model AGB15512FW. ,Industrial Hardware,,,,,,,,,,,,,,,,,,,,,,,,,,,Industrial Hardware,Size,,,Material,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Hardware,General Hardware,Hardware Accessories,,AGB15516FW,1x6-16' French White Oak Groov - Landmark Azek PVC Decking,TIMBERTECH,,,Parksite (6151),Parksite,Parksite,,AGB15516FW,,Industrial & Commercial Supplies>Hardware>General Hardware,"Parksite, Industrial Hardware, AGB15516FW",INDUSTRIAL HARDWARE AGB15516FW,"Parksite, AGB15516FW, Industrial Hardware",Parksite Industrial Hardware Model AGB15516FW. ,Industrial Hardware,,,,,,,,,,,,,,,,,,,,,,,,,,,Industrial Hardware,Size,,,Material,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Hardware,General Hardware,Hardware Accessories,,AGB15520FW,1x6-20' French White Oak Groov - Landmark Azek PVC Decking,TIMBERTECH,,,Parksite (6151),Parksite,Parksite,,AGB15520FW,,Industrial & Commercial Supplies>Hardware>General Hardware,"Parksite, Industrial Hardware, AGB15520FW",INDUSTRIAL HARDWARE AGB15520FW,"Parksite, AGB15520FW, Industrial Hardware",Parksite Industrial Hardware Model AGB15520FW. ,Industrial Hardware,,,,,,,,,,,,,,,,,,,,,,,,,,,Industrial Hardware,Size,,,Material,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Hardware,General Hardware,Hardware Accessories,,ADCB15516BS,1x6-16' Brownstone Sq Edge - Harvest Azek PVC Decking,TIMBERTECH,,,Parksite (6151),Parksite,Parksite,,ADCB15516BS,,Industrial & Commercial Supplies>Hardware>General Hardware,"Parksite, Industrial Hardware, ADCB15516BS",INDUSTRIAL HARDWARE ADCB15516BS,"Parksite, ADCB15516BS, Industrial Hardware",Parksite Industrial Hardware Model ADCB15516BS. ,Industrial Hardware,,,,,,,,,,,,,,,,,,,,,,,,,,,Industrial Hardware,Size,,,Material,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Hardware,General Hardware,Hardware Accessories,,ADCB15520BS,1x6-20' Brownstone Sq Edge - Harvest Azek PVC Decking,TIMBERTECH,,,Parksite (6151),Parksite,Parksite,,ADCB15520BS,,Industrial & Commercial Supplies>Hardware>General Hardware,"Parksite, Industrial Hardware, ADCB15520BS",INDUSTRIAL HARDWARE ADCB15520BS,"Parksite, ADCB15520BS, Industrial Hardware",Parksite Industrial Hardware Model ADCB15520BS. ,Industrial Hardware,,,,,,,,,,,,,,,,,,,,,,,,,,,Industrial Hardware,Size,,,Material,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Hardware,General Hardware,Hardware Accessories,,ADCB15516SG,1x6-16' Slate Gray Sq Edge - Harvest Azek PVC Decking,TIMBERTECH,,,Parksite (6151),Parksite,Parksite,,ADCB15516SG,,Industrial & Commercial Supplies>Hardware>General Hardware,"Parksite, Industrial Hardware, ADCB15516SG",INDUSTRIAL HARDWARE ADCB15516SG,"Parksite, ADCB15516SG, Industrial Hardware",Parksite Industrial Hardware Model ADCB15516SG. ,Industrial Hardware,,,,,,,,,,,,,,,,,,,,,,,,,,,Industrial Hardware,Size,,,Material,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
